State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Jharkhand,2021,Cybercrime,Social media account hacking,Hazaribagh,Property ownership documents,State Police Department,Open,Partially convicted,Yes
Maharashtra,2013,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Vasai-Virar,Financial transactions,Major Crimes Unit,Open,Partially convicted,Yes
Uttarakhand,1985,Human Trafficking,Human smuggling operation intercepted at the border,Haridwar,Medical reports,Fraud Investigation Unit,Open,Convicted,Yes
Odisha,2004,Organized Crime,"Gang violence escalates, leading to multiple homicides",Bhadrak,"Physical evidence (e.g., fingerprints, DNA)",Homicide Unit,Open,Not convicted,No
Punjab,2000,Burglary,Shoplifting at a local store,Amritsar,Financial transactions,K-9 Unit,Under Investigation,Convicted,Yes
Himachal Pradesh,2005,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Kangra,Character witness testimonies,Criminal Investigation Division,Open,Convicted,Yes
Punjab,1973,Child Abduction,Parental kidnapping during a custody dispute,Abohar,Forensic analysis reports,City Police Department,Under Investigation,Not convicted,Yes
Madhya Pradesh,1985,Homicide,Domestic murder-suicide,Bhopal,Property ownership documents,Homicide Unit,Under Investigation,Not convicted,No
Mizoram,1972,Theft,Package theft from porches,Serchhip,Medical reports,City Police Department,Closed,Partially convicted,Yes
Mizoram,2020,White-Collar Crime,Insider trading on the stock market,Serchhip,Character witness testimonies,Homicide Unit,Closed,Partially convicted,No
Odisha,1977,Vandalism,Defacing a monument,Brahmapur,Financial transactions,Bureau of Investigation,Closed,Partially convicted,Yes
Mizoram,2008,Fraudulent Schemes,Identity theft ring steals identities to open fraudulent bank accounts,Serchhip,Audio recordings,Traffic Enforcement Unit,Open,Convicted,No
Mizoram,1980,Theft,Grand theft auto of a luxury vehicle,Saiha,Property ownership documents,State Police Department,Open,Partially convicted,Yes
Nagaland,1997,Burglary,Office burglary during the night,Phek,Confession statements,Narcotics Division,Under Investigation,Convicted,Yes
Punjab,1991,Theft,Package theft from porches,Abohar,Bank statements,Community Policing Unit,Closed,Not convicted,No
Karnataka,2015,Drug Possession,Possession of illegal substances during a traffic stop,Bellary,Property ownership documents,City Police Department,Under Investigation,Not convicted,No
Tamil Nadu,2016,Embezzlement,Employee theft from a retail store,Chennai,Video surveillance footage,Homicide Unit,Under Investigation,Partially convicted,Yes
Bihar,1980,Hate Crime,Transgender person assaulted in a hate crime fueled by prejudice,Munger,Crime scene photographs,City Police Department,Closed,Not convicted,No
Tamil Nadu,2000,Vandalism,Defacing a monument,Thoothukkudi,Confession statements,Homicide Unit,Under Investigation,Partially convicted,No
Meghalaya,2009,Robbery,Bank robbery with hostages,Mairang,"Digital evidence (e.g., emails, text messages)",Forensic Science Division,Under Investigation,Convicted,Yes
Haryana,1997,Sexual Assault,Stranger rape in a dark alley,Ambala,"Digital evidence (e.g., emails, text messages)",Traffic Enforcement Unit,Under Investigation,Convicted,Yes
Assam,2010,Domestic Violence,Stalking by an ex-partner,Bongaigaon,Vehicle registration records,State Police Department,Under Investigation,Not convicted,No
Madhya Pradesh,1984,Kidnapping,Hostage situation at a bank,Indore,Witness statements,K-9 Unit,Closed,Partially convicted,Yes
Bihar,1988,White-Collar Crime,Corporate espionage by rival companies,Munger,Vehicle registration records,Special Operations Division,Open,Convicted,No
Jharkhand,1973,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Deoghar,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Closed,Partially convicted,No
Arunachal Pradesh,2008,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Ziro,Crime scene photographs,Major Crimes Unit,Closed,Convicted,No
Nagaland,2004,Drug Possession,Drug trafficking in a residential area,Wokha,Crime scene photographs,State Police Department,Closed,Not convicted,No
Andhra Pradesh,2006,Kidnapping,Hostage situation at a bank,Anantapur,Eyewitness accounts,Special Operations Division,Closed,Partially convicted,Yes
Haryana,1989,Assault,Street fight between two individuals,Rohtak,Phone records,Community Policing Unit,Open,Convicted,No
Uttar Pradesh,2023,Arson,Arson for insurance fraud,Bareilly,Crime scene photographs,SWAT Team,Closed,Not convicted,No
Meghalaya,2009,Kidnapping,Virtual kidnapping scam,Williamnagar,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Under Investigation,Partially convicted,Yes
Arunachal Pradesh,1999,Cybercrime,Social media account hacking,Naharlagun,Forensic analysis reports,Highway Patrol,Under Investigation,Not convicted,No
Himachal Pradesh,1970,Vandalism,Smashing car windows in a parking lot,Shimla,Medical reports,Cyber Crimes Unit,Under Investigation,Partially convicted,Yes
Madhya Pradesh,2005,Robbery,Bank robbery with hostages,Jabalpur,Character witness testimonies,Metropolitan Police Department,Open,Partially convicted,No
Tripura,2023,Domestic Violence,Child abuse within a family,Sabroom,Medical reports,SWAT Team,Open,Not convicted,Yes
Jharkhand,2013,White-Collar Crime,Insider trading on the stock market,Ranchi,"Digital evidence (e.g., emails, text messages)",Victim Services Division,Open,Convicted,Yes
Tripura,2016,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Amarpur,Forensic analysis reports,SWAT Team,Closed,Convicted,No
Odisha,2008,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Cuttack,"Physical evidence (e.g., fingerprints, DNA)",Criminal Investigation Division,Under Investigation,Not convicted,No
Madhya Pradesh,1993,Assault,Physical altercation at a bar,Ratlam,"Physical evidence (e.g., fingerprints, DNA)",Community Policing Unit,Closed,Not convicted,No
Punjab,2017,Vandalism,Defacing a monument,Batala,Medical reports,Criminal Investigation Division,Under Investigation,Partially convicted,Yes
Rajasthan,1986,Kidnapping,Child abduction from a playground,Bikaner,Bank statements,Fraud Investigation Unit,Under Investigation,Convicted,Yes
Meghalaya,2021,Cybercrime,Social media account hacking,Tura,Medical reports,Bureau of Investigation,Under Investigation,Not convicted,No
Gujarat,1976,Fraudulent Schemes,"Fake investment company promises high returns, leaving investors penniless",Surat,Expert witness testimony,City Police Department,Under Investigation,Not convicted,Yes
Nagaland,1989,Assault,Street fight between two individuals,Mokokchung,Audio recordings,Special Investigations Unit,Closed,Convicted,Yes
Tripura,2001,Assault,Domestic dispute turned violent,Kailasahar,Forensic analysis reports,Cyber Crimes Unit,Closed,Partially convicted,Yes
Odisha,1976,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Baripada,"Physical evidence (e.g., fingerprints, DNA)",Criminal Investigation Division,Under Investigation,Convicted,Yes
Punjab,1980,Robbery,Bank robbery with hostages,Abohar,Medical reports,Bureau of Investigation,Open,Convicted,No
West Bengal,1990,Embezzlement,Misappropriation of funds by a financial advisor,Bardhaman,Financial transactions,Criminal Investigation Division,Closed,Convicted,No
Tripura,2020,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Sabroom,Bank statements,SWAT Team,Under Investigation,Not convicted,No
Nagaland,1974,Fraud,Tax evasion,Mokokchung,Eyewitness accounts,City Police Department,Under Investigation,Partially convicted,Yes
Bihar,1998,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Purnia,"Physical evidence (e.g., fingerprints, DNA)",Special Investigations Unit,Open,Partially convicted,No
Nagaland,2005,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Phek,Bank statements,Major Crimes Unit,Under Investigation,Partially convicted,Yes
Goa,1989,Sexual Assault,Sexual assault by a trusted authority figure,Mapusa,Confession statements,State Police Department,Closed,Partially convicted,Yes
Jharkhand,1993,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Medininagar,Forensic analysis reports,Homicide Unit,Under Investigation,Not convicted,No
Arunachal Pradesh,2020,Terrorism,Bombing at a crowded public event,Tezu,Eyewitness accounts,Metropolitan Police Department,Closed,Not convicted,No
Sikkim,1998,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Nayabazar,"Physical evidence (e.g., fingerprints, DNA)",K-9 Unit,Under Investigation,Partially convicted,No
Assam,2004,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Jorhat,Medical reports,Fraud Investigation Unit,Under Investigation,Convicted,No
Madhya Pradesh,1984,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Indore,Eyewitness accounts,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Arunachal Pradesh,1986,Cybercrime,Identity theft through phishing emails,Bomdila,"Physical evidence (e.g., fingerprints, DNA)",City Police Department,Closed,Not convicted,No
Odisha,2000,Vandalism,Smashing car windows in a parking lot,Bhadrak,Character witness testimonies,Criminal Investigation Division,Under Investigation,Not convicted,Yes
West Bengal,1986,Child Abduction,Amber Alert issued for missing child,Bardhaman,Bank statements,Bureau of Investigation,Open,Not convicted,No
Tripura,1971,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Amarpur,Vehicle registration records,Special Operations Division,Under Investigation,Convicted,No
Uttarakhand,1998,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Haridwar,Medical reports,SWAT Team,Closed,Not convicted,Yes
Bihar,1971,Embezzlement,Corporate embezzlement scheme,Munger,Vehicle registration records,Victim Services Division,Under Investigation,Convicted,Yes
Punjab,1975,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Ludhiana,"Digital evidence (e.g., emails, text messages)",K-9 Unit,Open,Not convicted,Yes
Manipur,2017,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Mayang Imphal,Phone records,Highway Patrol,Under Investigation,Convicted,Yes
Maharashtra,1985,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Pune,Crime scene photographs,Community Policing Unit,Closed,Partially convicted,No
Telangana,1990,Terrorism,Chemical attack in a subway station,Karimnagar,Property ownership documents,Fraud Investigation Unit,Open,Partially convicted,No
Madhya Pradesh,2021,Burglary,Office burglary during the night,Ujjain,"Physical evidence (e.g., fingerprints, DNA)",Narcotics Division,Closed,Not convicted,No
Maharashtra,1980,Burglary,Shoplifting at a local store,Pune,Witness statements,Narcotics Division,Closed,Not convicted,No
Chhattisgarh,2008,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Bilaspur,Eyewitness accounts,SWAT Team,Open,Partially convicted,Yes
Haryana,1972,Vandalism,Graffiti on public property,Karnal,Financial transactions,City Police Department,Closed,Convicted,Yes
Mizoram,2001,Kidnapping,Virtual kidnapping scam,Hnahthial,Witness statements,Major Crimes Unit,Under Investigation,Not convicted,No
Maharashtra,1974,White-Collar Crime,Corporate espionage by rival companies,Vasai-Virar,Audio recordings,Major Crimes Unit,Under Investigation,Not convicted,Yes
Maharashtra,2004,White-Collar Crime,Insider trading on the stock market,Aurangabad,Crime scene photographs,City Police Department,Under Investigation,Not convicted,No
Meghalaya,1993,Child Abduction,Child abduction by a stranger at a playground,Williamnagar,Witness statements,Fraud Investigation Unit,Open,Not convicted,Yes
Uttarakhand,1986,Kidnapping,Virtual kidnapping scam,Kashipur,Character witness testimonies,Special Investigations Unit,Under Investigation,Not convicted,No
Himachal Pradesh,1975,Drug Possession,Drug deal in a park,Una,Eyewitness accounts,Traffic Enforcement Unit,Open,Partially convicted,No
Bihar,1983,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Arrah,Character witness testimonies,Narcotics Division,Open,Convicted,Yes
Odisha,1971,Fraud,Credit card fraud,Sambalpur,"Digital evidence (e.g., emails, text messages)",Criminal Investigation Division,Open,Partially convicted,Yes
Tamil Nadu,2020,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Madurai,Audio recordings,Special Investigations Unit,Under Investigation,Partially convicted,No
Odisha,1998,Drug Possession,Drug trafficking in a residential area,Bhubaneswar,Character witness testimonies,Special Operations Division,Closed,Partially convicted,Yes
Telangana,1990,Arson,Wildfire arson in a forest,Mahbubnagar,Vehicle registration records,Highway Patrol,Open,Convicted,Yes
Jharkhand,1975,Robbery,Armed robbery at a convenience store,Medininagar,"Digital evidence (e.g., emails, text messages)",Fraud Investigation Unit,Closed,Partially convicted,No
Meghalaya,1999,Kidnapping,Virtual kidnapping scam,Baghmara,Medical reports,Traffic Enforcement Unit,Closed,Convicted,Yes
Odisha,1975,Domestic Violence,Child abuse within a family,Bhubaneswar,Audio recordings,Special Operations Division,Under Investigation,Convicted,Yes
Tamil Nadu,2015,Theft,Grand theft auto of a luxury vehicle,Salem,Bank statements,Narcotics Division,Closed,Convicted,No
Tripura,1985,Burglary,Office burglary during the night,Udaipur,Phone records,SWAT Team,Closed,Partially convicted,No
Arunachal Pradesh,1989,Robbery,Bank robbery with hostages,Naharlagun,"Digital evidence (e.g., emails, text messages)",Metropolitan Police Department,Open,Not convicted,No
Karnataka,1971,Fraud,Insurance fraud scheme,Bellary,Property ownership documents,Traffic Enforcement Unit,Open,Partially convicted,No
Tamil Nadu,1980,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Madurai,Witness statements,Special Investigations Unit,Closed,Partially convicted,No
Kerala,2006,Robbery,Bank robbery with hostages,Malappuram,Audio recordings,Homicide Unit,Open,Not convicted,Yes
Maharashtra,2020,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Pune,Property ownership documents,Special Operations Division,Under Investigation,Partially convicted,Yes
Punjab,2017,Theft,Grand theft auto of a luxury vehicle,Pathankot,Character witness testimonies,Special Operations Division,Under Investigation,Partially convicted,Yes
Chhattisgarh,1982,Car Theft,Motorcycle stolen from a parking garage in broad daylight,Ambikapur,Character witness testimonies,SWAT Team,Under Investigation,Partially convicted,No
Uttar Pradesh,2002,Embezzlement,Misappropriation of funds by a financial advisor,Meerut,Expert witness testimony,Highway Patrol,Closed,Convicted,Yes
Chhattisgarh,1985,Hate Crime,Racist hate group targets minority community with threats and intimidation,Chirmiri,Phone records,City Police Department,Open,Partially convicted,Yes
Jharkhand,2006,Homicide,Domestic murder-suicide,Ramgarh,Confession statements,Highway Patrol,Under Investigation,Not convicted,Yes
Uttarakhand,1976,Embezzlement,Employee theft from a retail store,Pithoragarh,Bank statements,Homicide Unit,Under Investigation,Not convicted,Yes
Chhattisgarh,1986,Public Intoxication,Underage drinking at a party,Durg,Bank statements,Metropolitan Police Department,Closed,Partially convicted,No
Mizoram,2014,Fraud,Credit card fraud,Lunglei,Audio recordings,Highway Patrol,Closed,Convicted,Yes
Chhattisgarh,2010,Theft,Grand theft auto of a luxury vehicle,Durg,Property ownership documents,Community Policing Unit,Open,Partially convicted,No
Uttarakhand,2009,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Pithoragarh,Character witness testimonies,Narcotics Division,Open,Not convicted,Yes
West Bengal,1990,Vandalism,Defacing a monument,Malda,"Digital evidence (e.g., emails, text messages)",Highway Patrol,Open,Not convicted,No
Punjab,2010,Car Theft,"Chop shop operation busted, dismantling stolen cars for parts",Jalandhar,Property ownership documents,Special Investigations Unit,Closed,Convicted,Yes
Chhattisgarh,2016,Kidnapping,Child abduction from a playground,Bilaspur,Character witness testimonies,Criminal Investigation Division,Closed,Convicted,Yes
Uttar Pradesh,2012,Child Abduction,Child abduction by a stranger at a playground,Kanpur,Vehicle registration records,Community Policing Unit,Under Investigation,Not convicted,Yes
West Bengal,1975,Hate Crime,"Arson at mosque during prayer service, causing extensive damage",Baharampur,Audio recordings,Narcotics Division,Under Investigation,Convicted,No
Uttar Pradesh,1999,Embezzlement,Corporate embezzlement scheme,Meerut,Eyewitness accounts,Homicide Unit,Under Investigation,Convicted,No
Meghalaya,2009,Money Laundering,Front company used to launder drug money through legitimate business transactions,Tura,Character witness testimonies,Traffic Enforcement Unit,Open,Partially convicted,Yes
Gujarat,1974,Burglary,Break-in at a suburban home,Ahmedabad,Property ownership documents,Traffic Enforcement Unit,Closed,Partially convicted,No
Jharkhand,2003,Drug Possession,Possession of illegal substances during a traffic stop,Jamshedpur,Expert witness testimony,Highway Patrol,Closed,Partially convicted,No
Mizoram,2016,Robbery,Mugging in a dark alley,Kolasib,Vehicle registration records,Narcotics Division,Closed,Not convicted,No
Madhya Pradesh,2002,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Ujjain,Confession statements,Major Crimes Unit,Closed,Not convicted,No
Gujarat,1992,Cybercrime,Identity theft through phishing emails,Jamnagar,Bank statements,Traffic Enforcement Unit,Under Investigation,Convicted,Yes
Arunachal Pradesh,1973,Forgery,Counterfeit currency operation,Naharlagun,Bank statements,Narcotics Division,Under Investigation,Not convicted,Yes
Rajasthan,2018,Terrorism,Chemical attack in a subway station,Bikaner,Expert witness testimony,Fraud Investigation Unit,Open,Partially convicted,No
Haryana,2010,Robbery,Mugging in a dark alley,Ambala,Forensic analysis reports,Community Policing Unit,Open,Convicted,No
Chhattisgarh,2012,Terrorism,Chemical attack in a subway station,Durg,Audio recordings,Major Crimes Unit,Closed,Not convicted,No
Punjab,2007,Child Abduction,Amber Alert issued for missing child,Batala,Video surveillance footage,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Uttar Pradesh,2021,Sexual Assault,Date rape at a college party,Meerut,Eyewitness accounts,City Police Department,Closed,Not convicted,No
Nagaland,1980,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Wokha,Witness statements,K-9 Unit,Open,Not convicted,No
Meghalaya,1994,Terrorism,Bombing at a crowded public event,Baghmara,Eyewitness accounts,Metropolitan Police Department,Open,Convicted,No
Tamil Nadu,2014,Sexual Assault,Sexual assault by a trusted authority figure,Vellore,Forensic analysis reports,Victim Services Division,Under Investigation,Convicted,Yes
Maharashtra,1984,Drug Possession,Drug deal in a park,Nagpur,Witness statements,K-9 Unit,Closed,Convicted,No
Punjab,2004,Arson,Setting fire to a vacant building,Abohar,Character witness testimonies,SWAT Team,Closed,Convicted,Yes
Gujarat,2015,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Vadodara,Eyewitness accounts,State Police Department,Closed,Partially convicted,Yes
Meghalaya,1975,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Williamnagar,Property ownership documents,Fraud Investigation Unit,Closed,Partially convicted,No
Madhya Pradesh,1997,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Bhopal,Photographic evidence,Criminal Investigation Division,Closed,Not convicted,No
West Bengal,2007,Assault,Street fight between two individuals,Siliguri,Vehicle registration records,Community Policing Unit,Open,Convicted,No
Jharkhand,2004,Public Intoxication,Underage drinking at a party,Hazaribagh,Eyewitness accounts,Special Investigations Unit,Closed,Partially convicted,Yes
Karnataka,1971,Child Abduction,Amber Alert issued for missing child,Belgaum,Eyewitness accounts,Bureau of Investigation,Open,Partially convicted,No
Meghalaya,1994,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Mairang,Character witness testimonies,Homicide Unit,Closed,Partially convicted,No
Telangana,1991,Hate Crime,Assault on LGBTQ+ individual in a hate-motivated attack,Ramagundam,Expert witness testimony,Cyber Crimes Unit,Under Investigation,Partially convicted,Yes
Karnataka,1977,Public Intoxication,Public urination in a city park,Bangalore,Crime scene photographs,Community Policing Unit,Open,Partially convicted,No
West Bengal,2001,Public Intoxication,Drunken disorderly conduct at a bar,Asansol,Bank statements,City Police Department,Closed,Partially convicted,Yes
Manipur,1987,Assault,Domestic dispute turned violent,Kakching,Bank statements,Highway Patrol,Under Investigation,Not convicted,No
Goa,1972,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Curchorem,"Digital evidence (e.g., emails, text messages)",Major Crimes Unit,Closed,Partially convicted,Yes
Arunachal Pradesh,2000,White-Collar Crime,Corporate espionage by rival companies,Tezu,Crime scene photographs,Cyber Crimes Unit,Closed,Partially convicted,No
Andhra Pradesh,2004,Terrorism,Bombing at a crowded public event,Guntur,Medical reports,Traffic Enforcement Unit,Open,Convicted,No
Gujarat,2015,Child Abduction,Child abduction by a stranger at a playground,Rajkot,Character witness testimonies,SWAT Team,Open,Convicted,Yes
Sikkim,1989,Assault,Domestic dispute turned violent,Gangtok,Expert witness testimony,Fraud Investigation Unit,Open,Not convicted,Yes
Andhra Pradesh,2018,Embezzlement,Employee theft from a retail store,Rajahmundry,Eyewitness accounts,Bureau of Investigation,Closed,Convicted,No
Chhattisgarh,1972,Embezzlement,Employee theft from a retail store,Bhilai,Property ownership documents,Criminal Investigation Division,Closed,Not convicted,Yes
Bihar,2012,Fraud,Credit card fraud,Purnia,Phone records,Special Investigations Unit,Under Investigation,Not convicted,No
Manipur,1971,Homicide,Mysterious death investigation,Lilong,Vehicle registration records,Community Policing Unit,Under Investigation,Not convicted,Yes
Gujarat,1988,Human Trafficking,Victims of human trafficking rescued from underground brothel,Bharuch,Audio recordings,Homicide Unit,Under Investigation,Not convicted,Yes
Assam,1974,Kidnapping,Hostage situation at a bank,Nagaon,Phone records,Fraud Investigation Unit,Closed,Convicted,No
Andhra Pradesh,2020,Embezzlement,Employee theft from a retail store,Nellore,Vehicle registration records,Criminal Investigation Division,Under Investigation,Not convicted,Yes
West Bengal,2023,Fraud,Credit card fraud,Durgapur,Forensic analysis reports,City Police Department,Closed,Not convicted,No
Chhattisgarh,1990,Public Corruption,Government contractor charged with fraud in connection with public projects,Bilaspur,Video surveillance footage,Community Policing Unit,Closed,Not convicted,No
Assam,2003,Public Intoxication,Public urination in a city park,Guwahati,Witness statements,K-9 Unit,Closed,Not convicted,No
Maharashtra,2015,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Navi Mumbai,"Physical evidence (e.g., fingerprints, DNA)",Homicide Unit,Under Investigation,Partially convicted,Yes
Sikkim,2020,Terrorism,Cyberterrorism targeting critical infrastructure,Gangtok,Eyewitness accounts,Bureau of Investigation,Closed,Partially convicted,No
Tamil Nadu,1998,White-Collar Crime,Insider trading on the stock market,Thoothukkudi,Video surveillance footage,Criminal Investigation Division,Open,Convicted,No
Uttarakhand,1990,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Dehradun,"Digital evidence (e.g., emails, text messages)",Metropolitan Police Department,Under Investigation,Convicted,No
Maharashtra,1976,Domestic Violence,Stalking by an ex-partner,Thane,Confession statements,Metropolitan Police Department,Under Investigation,Not convicted,No
Sikkim,1982,Public Corruption,Police officers implicated in drug trafficking ring,Gyalshing,Medical reports,State Police Department,Under Investigation,Convicted,No
Meghalaya,1979,Terrorism,Chemical attack in a subway station,Nongstoin,Witness statements,Highway Patrol,Under Investigation,Partially convicted,No
Meghalaya,2001,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Shillong,Financial transactions,Homicide Unit,Closed,Partially convicted,Yes
Mizoram,1999,Armed Robbery,Jewelry store heist involving a group of armed robbers,Champhai,Character witness testimonies,State Police Department,Under Investigation,Not convicted,No
Maharashtra,1990,Burglary,Shoplifting at a local store,Pune,Forensic analysis reports,K-9 Unit,Open,Not convicted,Yes
Sikkim,1996,Terrorism,Bombing at a crowded public event,Pakyong,"Digital evidence (e.g., emails, text messages)",Forensic Science Division,Closed,Convicted,No
Kerala,1989,Sexual Assault,Date rape at a college party,Malappuram,Confession statements,Narcotics Division,Open,Partially convicted,No
Mizoram,1996,Kidnapping,Hostage situation at a bank,Khawzawl,Vehicle registration records,Narcotics Division,Open,Convicted,No
Uttarakhand,1986,Robbery,Mugging in a dark alley,Kashipur,Vehicle registration records,Special Investigations Unit,Open,Not convicted,Yes
Telangana,1971,Car Theft,Motorcycle stolen from a parking garage in broad daylight,Hyderabad,Forensic analysis reports,Special Investigations Unit,Closed,Not convicted,No
West Bengal,2010,Sexual Assault,Sexual assault by a trusted authority figure,Haldia,"Digital evidence (e.g., emails, text messages)",Criminal Investigation Division,Open,Partially convicted,No
Kerala,1972,Vandalism,Smashing car windows in a parking lot,Thiruvananthapuram,Confession statements,Homicide Unit,Closed,Not convicted,No
Maharashtra,2013,Kidnapping,Child abduction from a playground,Thane,"Physical evidence (e.g., fingerprints, DNA)",State Police Department,Open,Not convicted,No
Chhattisgarh,1983,Sexual Assault,Date rape at a college party,Rajnandgaon,Video surveillance footage,Forensic Science Division,Under Investigation,Convicted,Yes
Telangana,2017,Robbery,Bank robbery with hostages,Hyderabad,Expert witness testimony,Homicide Unit,Closed,Convicted,Yes
Madhya Pradesh,1988,Homicide,Mysterious death investigation,Sagar,Crime scene photographs,SWAT Team,Open,Partially convicted,No
Tamil Nadu,2005,Burglary,Shoplifting at a local store,Tiruchirappalli,Vehicle registration records,K-9 Unit,Under Investigation,Convicted,Yes
Karnataka,1993,Sexual Assault,Stranger rape in a dark alley,Mangalore,Forensic analysis reports,Narcotics Division,Under Investigation,Not convicted,No
Arunachal Pradesh,1975,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Pasighat,Phone records,Bureau of Investigation,Closed,Not convicted,No
Arunachal Pradesh,1997,Public Intoxication,Underage drinking at a party,Aalo,Photographic evidence,Fraud Investigation Unit,Open,Convicted,No
West Bengal,1983,Cybercrime,Ransomware attack on a business network,Durgapur,Character witness testimonies,Community Policing Unit,Open,Partially convicted,Yes
Jharkhand,1991,Vandalism,Graffiti on public property,Deoghar,Property ownership documents,Traffic Enforcement Unit,Open,Not convicted,Yes
Tamil Nadu,1973,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Chennai,Confession statements,City Police Department,Under Investigation,Not convicted,Yes
Tamil Nadu,1979,Public Corruption,Government contractor charged with fraud in connection with public projects,Chennai,Financial transactions,State Police Department,Under Investigation,Convicted,No
Kerala,2018,Assault,Street fight between two individuals,Kozhikode,Property ownership documents,State Police Department,Under Investigation,Convicted,No
Chhattisgarh,1975,Armed Robbery,Gas station attendant threatened with a knife during a robbery,Korba,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Open,Not convicted,Yes
Manipur,2020,Cybercrime,Ransomware attack on a business network,Lilong,Expert witness testimony,Major Crimes Unit,Closed,Partially convicted,Yes
Nagaland,2013,Assault,Street fight between two individuals,Zunheboto,Audio recordings,Metropolitan Police Department,Closed,Convicted,No
Assam,2010,Kidnapping,Virtual kidnapping scam,Nagaon,Photographic evidence,Fraud Investigation Unit,Open,Not convicted,No
Goa,1990,Theft,Pickpocketing in a crowded market,Curchorem,Bank statements,Fraud Investigation Unit,Closed,Partially convicted,No
Bihar,2006,White-Collar Crime,Counterfeiting money operation,Patna,Financial transactions,K-9 Unit,Open,Not convicted,Yes
Haryana,1990,Drug Possession,Drug deal in a park,Faridabad,Phone records,SWAT Team,Closed,Partially convicted,Yes
Odisha,1976,Public Intoxication,Drunken disorderly conduct at a bar,Balasore,Property ownership documents,Major Crimes Unit,Under Investigation,Not convicted,Yes
Tamil Nadu,1986,Fraud,Tax evasion,Chennai,Eyewitness accounts,State Police Department,Under Investigation,Partially convicted,Yes
Kerala,2006,Drug Trafficking,International drug cartel smuggling narcotics across the border,Kollam,Video surveillance footage,Major Crimes Unit,Closed,Not convicted,Yes
Nagaland,1974,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Dimapur,Bank statements,Cyber Crimes Unit,Open,Convicted,No
Karnataka,2002,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Belgaum,Crime scene photographs,Cyber Crimes Unit,Under Investigation,Partially convicted,No
Telangana,2007,Homicide,Mysterious death investigation,Hyderabad,"Physical evidence (e.g., fingerprints, DNA)",Fraud Investigation Unit,Open,Partially convicted,No
Tripura,2007,Embezzlement,Misappropriation of funds by a financial advisor,Dharmanagar,Medical reports,Victim Services Division,Under Investigation,Not convicted,Yes
Punjab,1987,Assault,Physical altercation at a bar,Patiala,Bank statements,K-9 Unit,Closed,Partially convicted,Yes
Tripura,1980,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Agartala,Forensic analysis reports,Cyber Crimes Unit,Open,Convicted,No
Telangana,1976,Public Corruption,Police officers implicated in drug trafficking ring,Nizamabad,Photographic evidence,Narcotics Division,Closed,Not convicted,Yes
